ViewPage,Title,Company,Location,Metadata,Summary
https://uk.indeed.com/viewjob?jk=838f41b0f84e9466,Site Reliability Engineer | £55-90K | UK Remote,SearchPilot,Temporarily Remote in London EC3M,"£55,000 - £90,000 a yearFull-time",SearchPilot is looking for an experienced *UK-based SRE *to help us build and improve our rapidly growing and evolving infrastructure. Our infrastructure is…
https://uk.indeed.com/viewjob?jk=e30ab4110ee7a664,Go Developer Golang Backend Cloud IoT,Client Server,Hybrid remote in London,"£80,000 - £90,000 a yearPermanent",Go Developer / Backend Software Engineer *Hybrid WfH*. Are you a skilled Backend Software Engineer with commercial Go / Golang development experience? You…
https://uk.indeed.com/viewjob?jk=e0c5e3b3694c2cac,Senior Golang Engineer – $50 million Series B,Propel Together,Remote,"£80,000 - £110,000 a year",Job Overview The Company Senior Backend Engineer (Go Golang C++ Java) is required to join an American AI Cyber security business scaling into Europe and…
https://uk.indeed.com/viewjob?jk=6e023fb9b48642b9,Software Engineer (Java or React),"JPMorgan Chase Bank, N.A.",Glasgow,Permanent +1,Are you a experienced Software Engineer that wants to get involved in all the latest Cloud tech? The team run a number of microservice apps on modern cloud…
https://uk.indeed.com/viewjob?jk=15e5f9fc593540ef,Frontend Developer,Understanding Recruitment,Remote in London,"£70,000 - £150,000 a yearPermanent","Up to £150,000 Fully remote We are currently looking for 100% remote UK-based Front End Developers (React, Node.js/TypeScript/GCP if you want to work full…"
https://uk.indeed.com/viewjob?jk=6065658f7216e32f,Golang Software Engineer,Michael Bailey Associates,Remote in England,Fixed term contract,Description Urgently seeking a Golang Software Engineer Initial 3 Month contract (extension likely) Fully Remote Skills and Requirements: Proven…
https://uk.indeed.com/viewjob?jk=3070bfb4918b3a8b,Scrum Master,Benefex,Remote in Southampton SO15,,This is a fantastic opportunity as we are looking for two Scrum Masters to join our Product Engineering tribeas a servant-leader o help support the squads…
https://uk.indeed.com/viewjob?jk=c273427fc74fad33,Data Engineer,Consortia,London,£575 a dayFixed term contract,I am looking for a Data Engineer with a focus on Data Integration to join one of London's fastest-growing Fin-Tech companies on an initial 3-month contract…
https://uk.indeed.com/viewjob?jk=3bb10dc95030eea7,Platform Engineer,Sky Betting & Gaming,Remote in Sheffield S1,,"Salary Banding - £36,000 - £61,500 A position has opened up for an outstanding Platform Engineer to join our Infrastructure Delivery Engineering team If you…"
https://uk.indeed.com/viewjob?jk=68bf9e1226d08d08,Senior Backend Engineer – Train in Golang – AI Scale Up,Propel Together,London,"£80,000 - £100,000 a year",Job Overview The Company Senior Backend Engineer – Train In Golang – US Scale up landing in Europe. I am currently working with a $20 million backed US…
https://uk.indeed.com/viewjob?jk=16dc4d00d6751ae9,Engineering Manager,Splunk,London,,"We are seeking an Engineering Manager to lead the Indexing team in our group, Data Platform. Our team designs distributed systems to collect and analyze high…"
https://uk.indeed.com/viewjob?jk=05d1d5b259e422b1,Senior System Software Engineer - Security,TikTok,London,,"Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity, bring joy and more fun for people to…"
https://uk.indeed.com/viewjob?jk=5e7e84c22a506d29,Delivery Architect – Energy modelling,Shell,Hybrid remote in London,Full-time,The Role Where you fit in Shell is building a tool to facilitate a joint understanding of energy transition options with our B2B customers. This tool…
https://uk.indeed.com/viewjob?jk=79ef871b6fbd81d4,Senior Engineer - Android - Customer & Data,Sainsburys,London EC1N,Permanent +2,"We’re a multi-channel, multi-brand business serving millions of customers a day, with the UK’s largest loyalty scheme and an ever-evolving set of digital…"
https://uk.indeed.com/viewjob?jk=f665601d74479f0b,Sr. Cloud Engineer (Remote),CrowdStrike,Remote,Full-time,"#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading…"
https://uk.indeed.com/viewjob?jk=7beb61e5b62e04e0,Software Development Engineer,Cradlepoint,Remote in London,Full-time,"Overview: Cradlepoint was born in Boise and built for wireless. We are a team of authentic, hard-working, and innovative people driven by a shared vision to…"
https://uk.indeed.com/viewjob?jk=44ba438b1339850d,"Junior Software Developer, Sports Content",bet365,Hybrid remote in Manchester,Full-time,Who we are looking for A technically minded Junior Software Developer to work on our content applications combining a love of sport and software development.…
https://uk.indeed.com/viewjob?jk=55d75c095577da91,Backend Software Engineer,Red Sift,Remote in London W1F,,"About Us At Red Sift, we are delivering the industry’s only integrated cloud email security and brand protection platform. As a result, we are helping to…"
https://uk.indeed.com/viewjob?jk=ecde7db90767a224,C++,SoCode,Cambridge,"£45,000 - £80,000 a yearPermanent",Job details Posted 31 August 2022 Salary£45k - 80k per year + Bonus + Travel Allowance + Benefits LocationCambridge Job type Permanent DisciplineC++ Software…
https://uk.indeed.com/viewjob?jk=c17061cb6ab70f5a,Staff Site Reliability Engineer,Automata,+1 locationRemote,,Automata is building a world-class company to disrupt the life science industry and empower scientists by making automation a reality for every lab. We work…
https://uk.indeed.com/viewjob?jk=7c49aa12883a3966,Senior Software Developer (GoLang),IQVIA,London,Full-time,"Senior Software Developer (GoLang) Real World Analytics & AI, RWS Technology The Role You will play an essential role as part of a product engineering team…"
https://uk.indeed.com/viewjob?jk=f42231f8b7981d66,Senior Software Engineer,Jaguar Land Rover,Remote in Manchester,,REQ ID: 102828 JOB TITLE: Senior Software Engineer SALARY: Competitive LOCATION: Manchester Jaguar Land Rover is harnessing technology to make driving smarter…
